Name,Height (cm),Weight (kg),Age,Tournement Wins ,Years  Pro,Handedness,Continent,Favorite Surface,Points
Casper Ruud,183,81,25,12,8,Right,Europe,Clay,3855
Grigor Dimitrov ,191,81,33,9,15,Right,Europe,All Rounder,3740
Alex de Minaur,183,69,25,9,8,Right,Australia,Fast,3725
Stefanos Tsitsipas,193,90,26,11,7,Right,Europe,Clay,3325
Tommy Paul,185,82,27,4,8,Right,North America,Fast,3180
Holder Rune,188,77,21,4,3,Right,Europe,Slow,3005
Hubert Hurkacz,196,81,27,8,8,Right,Europe,Fast,2810
Jack Draper,193,85,22,2,5,Left,Europe,Fast,2800
Lorenzo Musetti,185,78,22,2,4,Right,Europe,Clay,2600
Fraces Tiafoe,188,86,26,3,8,Right,North America,Fast,2585
Ugo Humbert,188,73,26,6,7,Left,Europe,Fast,2385
Ben Shleton,193,88,22,2,1,Left,North America,Hard,2330
Arthur Fils,185,83,20,3,2,Right,Europe,Clay,2265
Karen Khachanov,198,87,28,7,10,Right,Europe,Grass,2225
Alejandro Tabilo,188,75,27,2,8,Left,South America,Clay,2043
Sebastian Korda,196,82,24,2,5,Right,North America,Fast,2010
Alexei Popyrin,196,78,25,3,6,Right,Australia,Slow,1775
Tomas Machac,183,74,24,0,6,Right,Europe,Hard,1758
Sebastian Baez,170,70,23,6,5,Right,South America,Clay,1690
Felix Auger-Aliassime,193,88,24,5,6,Right,North America,Grass,1680
Jordan Thompson,183,82,30,1,10,Right,Australia,Fast,1571
Francisco Cerundolo,185,80,26,3,5,Right,South America,Soft,1570
Jiri Lehecka,185,81,22,3,3,Right,Europe,All Rounder,1560
Giovanni Mpetshi Perricard,203,98,21,2,2,Right,Europe,Hard,1519
Flavio Cobolli,183,74,22,0,3,Right,Europe,Clay,1502
Alexander Bublik,196,82,27,4,7,Right,Asia,Grass,1460
Nuno Borges,185,78,27,1,4,Right,Europe,None,1446
Brandon Nakashima,188,83,23,1,4,Right,North America,Hard,1375
Matteo Berrettini,196,95,28,10,8,Right,Europe,Grass,1370
Nicolas Jarry,201,90,29,3,9,Right,South America,Clay,1365
Matteo Arnaldo,185,71,23,0,4,Right,Europe,None,1335
Tallon Griekspoor,188,85,28,2,8,Right,Europe,Grass,1320
Tomas Martin Etcheverry,196,82,25,0,6,Right,South America,Clay,1310
Pedro Martinez,185,76,27,1,7,Right,Europe,All Rounder,1270
Jan-Lennard Struff,193,92,34,1,14,Right,Europe,Slow,1265
Luciano Darderi,183,82,22,1,1,Right,Europe,Clay,1263
Alex Michaelsen,193,79,20,0,0,Right,North America,Grass,1220
Mariano Navone,178,73,23,0,5,Right,South America,None,1188
Roberto Bautista Agut,183,75,36,12,18,Right,Europe,Grass,1171
Zhizhen Zhang,193,87,28,0,11,Right,Asia,Clay,1145
Jakub Mansik,193,83,19,0,1,Right,Europe,Hard,1137
Marcos Giron,180,77,31,1,9,Right,North America,Hard,1105
David Goffin,180,70,33,6,14,Right,Europe,Slow,1080
Juncheng Shang,180,73,19,1,2,Left,Asia,Hard,1075
Lorenzo Sonego,191,76,29,4,10,Right,Europe,Grass,1022
Gael Monfils,193,85,38,12,19,Right,Europe,Hard,1015
Roberto Carballes Baena,183,77,31,2,12,Right,Europe,Clay,980
Miomir Kecmanovic,183,75,25,1,6,Right,Europe,Slow,965
Cameron Norrie,188,82,29,5,6,Left,Europe,Clay,954
Fabian Marozsan,193,75,25,0,6,Right,Europe,Clay,930
Adrian Mannarino,180,79,36,5,19,Left,Europe,Grass,929
Roman Safiullin,185,75,27,0,8,Right,Europe,Clay,888
Arthur Rinderknech,196,88,29,0,5,Right,Europe,Slow,872
Alejando Davidovich Fokina,183,78,25,0,6,Right,Europe,Slow,860
Jaume Munar,183,76,27,0,9,Right,Europe,Clay,847
Alexander Shevchenko,185,75,23,0,5,Right,Asia,None,840
Yoshihito Nishioka,170,64,29,3,9,Left,Asia,Hard,839
Zizou Bergs,185,85,25,0,5,Right,Europe,Clay,833
Facundo Diaz Acosta, 183, 75, 23, 1, 5, South America, Hard, 814
